Criterio,Puntuación
Informe y capturas de pantalla (Windows),1
Instalación y configuración de Windows,1
Guest Additions (Windows),"0,5"
Snapshots (Windows),1
Clonación (Windows),"0,5"
Informe y capturas de pantalla (Linux),"1,5"
Instalación y configuración de Linux,1
Guest Additions (Linux),"0,5"
Instalación y configuración de Dual Boot,2
Informe y capturas de pantalla (Dual Boot),1
,10
